uniqueFlowsetId,flowNumber,srcAddr,dstAddr,srcPort,dstPort,forwardingStatus,forwardingStatusCode,nextHop,outputInt,outputDirection,bytes,packets,timeDelta
5,3,10.125.119.246,10.146.165.6,22443,44127,null,null,10.193.197.243,16,null,5903476,6142,0.0
5,4,10.146.165.6,8.8.8.8,0,0,null,null,198.208.133.38,1,null,11934,117,0.0
5,5,10.146.162.201,8.8.8.8,0,0,null,null,198.208.133.38,1,null,11832,116,0.0
5,6,10.146.164.92,8.8.8.8,0,0,null,null,198.208.38.216,1,null,11832,116,0.0
5,7,10.146.164.157,208.67.222.222,60475,53,null,null,198.208.133.142,15,null,160,2,5.0
5,8,10.125.119.139,10.146.162.106,22443,36786,null,null,10.193.197.243,16,null,3090,45,0.0
5,9,10.146.165.107,208.67.222.222,46172,53,null,null,198.208.133.53,15,null,160,2,5.0
5,10,10.146.164.115,208.67.222.222,41124,53,null,null,198.208.133.142,15,null,160,2,5.0
5,11,10.124.211.6,10.146.161.189,22443,34924,null,null,10.193.197.243,16,null,3170,45,0.0
5,12,10.155.68.10,10.146.162.194,8080,56515,null,null,10.193.197.243,16,null,40,1,0.0
5,13,10.125.118.53,10.146.165.79,32111,47720,null,null,10.193.197.243,16,null,44,1,0.0
6,1,10.146.168.25,144.72.231.17,62566,8080,null,null,198.208.210.5,1,null,60,1,0.0
6,2,10.146.163.239,10.47.18.237,51802,53,null,null,198.208.210.69,15,null,85,1,0.0
6,3,10.146.170.36,117.105.89.22,61261,53,null,null,198.208.133.142,15,null,93,1,0.0
6,4,10.146.170.36,130.173.33.162,61262,53,null,null,198.208.134.142,15,null,93,1,0.0
6,5,10.146.170.36,117.105.89.22,61265,53,null,null,198.208.133.142,15,null,93,1,0.0
6,6,10.146.170.36,130.173.33.162,61266,53,null,null,198.208.134.142,15,null,93,1,0.0
6,7,10.146.162.52,10.125.125.45,46318,32111,null,null,10.204.14.165,11,null,122,2,0.0
6,8,130.173.33.162,10.146.170.36,53,61262,null,null,10.193.197.243,16,null,91,1,0.0
6,9,130.173.33.162,10.146.170.36,53,61266,null,null,10.193.197.243,16,null,146,1,0.0
6,10,10.124.221.66,10.146.161.66,32111,36582,null,null,10.193.197.243,16,null,44,1,0.0
6,11,10.146.168.25,144.72.231.17,62567,8080,null,null,198.208.210.5,1,null,120,2,0.0
6,12,10.146.162.214,10.47.18.237,35984,53,null,null,10.205.14.165,11,null,85,1,0.0
6,13,10.179.34.66,10.156.245.71,41131,8080,null,null,198.208.38.216,1,null,282,2,0.0
7,1,10.193.197.223,148.93.49.78,161,54990,null,null,198.208.210.4,1,null,100,1,0.0
7,2,10.146.170.36,117.105.89.22,61268,53,null,null,198.208.133.142,15,null,95,1,0.0
7,3,10.146.170.36,130.173.33.162,61269,53,null,null,198.208.134.142,15,null,95,1,0.0
7,4,10.146.170.36,117.105.89.22,61272,53,null,null,198.208.133.142,15,null,95,1,0.0
7,5,10.146.170.36,130.173.33.162,61273,53,null,null,198.208.134.142,15,null,95,1,0.0
7,6,130.173.33.162,10.146.170.36,53,61269,null,null,10.193.197.243,16,null,93,1,0.0
7,7,10.125.125.45,10.146.162.52,32111,46318,null,null,10.193.197.243,16,null,44,1,0.0
7,8,130.173.33.162,10.146.170.36,53,61273,null,null,10.193.197.243,16,null,149,1,0.0
7,9,10.146.164.117,10.47.18.237,46689,53,null,null,198.208.210.68,15,null,85,1,0.0
7,10,10.146.162.2,10.47.18.237,54972,53,null,null,10.205.14.164,11,null,85,1,0.0
7,11,10.146.162.27,10.47.18.237,36360,53,null,null,198.208.210.69,15,null,85,1,0.0
7,12,10.146.165.109,10.47.18.237,41371,53,null,null,10.205.14.165,11,null,85,1,0.0
7,13,10.47.18.237,10.146.162.214,53,35984,null,null,10.193.204.227,18,null,83,1,0.0
8,1,10.193.197.223,148.93.49.78,161,55054,null,null,198.208.210.4,1,null,100,1,0.0
8,2,10.124.214.209,10.146.161.225,22443,39712,null,null,10.193.197.243,16,null,3201,46,0.0
8,3,10.146.165.188,8.8.8.8,0,0,null,null,198.208.38.216,1,null,12036,118,0.0
8,4,10.146.162.156,10.124.213.182,52736,22443,null,null,10.205.14.165,11,null,4950,60,0.0
8,5,10.146.171.64,10.124.215.80,54368,32111,null,null,198.208.210.69,15,null,122,2,0.0
8,6,10.146.165.168,10.125.115.3,33312,32111,null,null,10.204.14.165,11,null,122,2,0.0
8,7,10.146.164.20,208.67.222.222,56615,53,null,null,198.208.133.142,15,null,160,2,5.0
8,8,10.146.164.113,208.67.222.222,51680,53,null,null,198.208.133.53,15,null,160,2,5.0
8,9,10.146.165.28,208.67.222.222,57616,53,null,null,198.208.133.53,15,null,160,2,5.0
8,10,10.193.197.236,172.20.208.11,63994,22,null,null,198.208.210.4,1,null,492,6,0.0
8,11,10.146.162.106,10.125.119.139,46341,22443,null,null,10.204.14.164,11,null,233018,1151,0.0
8,12,10.124.211.6,10.146.161.189,22443,50429,null,null,10.193.197.243,16,null,586368,1558,0.0
8,13,10.146.164.40,208.67.222.222,55864,53,null,null,198.208.133.142,15,null,160,2,5.0
9,1,10.146.165.168,10.125.115.3,57400,22443,null,null,10.204.14.165,11,null,4526,52,0.0
