flowsetUniqueId,siteId,flowsetName,index,frameTime,frameEpoch,frameLen,ethDstOuiResolve,ethDstAddrOuiResolve,ethSrcOuiResolve,ethSrcAddrOuiResolve,ipSrc,ipSrcHost,ipDst,ipDstHost,numFlows,flowsetLength
1269,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:15.855511000 Eastern Standard Time",1675367895.855511000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1270,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:15.856656000 Eastern Standard Time",1675367895.856656000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1271,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:16.183180000 Eastern Standard Time",1675367896.183180000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1272,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:16.347178000 Eastern Standard Time",1675367896.347178000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1273,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:16.369909000 Eastern Standard Time",1675367896.369909000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1274,2,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 14:58:16.401279000 Eastern Standard Time",1675367896.401279000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
1275,2,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 14:58:16.401575000 Eastern Standard Time",1675367896.401575000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
1276,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:16.830620000 Eastern Standard Time",1675367896.830620000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1277,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:16.854571000 Eastern Standard Time",1675367896.854571000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1278,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:16.855657000 Eastern Standard Time",1675367896.855657000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1279,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:16.977114000 Eastern Standard Time",1675367896.977114000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1280,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:17.346892000 Eastern Standard Time",1675367897.346892000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1281,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:17.348108000 Eastern Standard Time",1675367897.348108000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1282,2,Set 1 [id=257] (7 flows),packets-2023-02-02,"Feb  2, 2023 14:58:17.398249000 Eastern Standard Time",1675367897.398249000,790,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,7,732
1283,2,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 14:58:17.398249000 Eastern Standard Time",1675367897.398249000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
1284,2,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 14:58:17.399253000 Eastern Standard Time",1675367897.399253000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
