flowsetUniqueId,siteId,flowsetName,index,frameTime,frameEpoch,frameLen,ethDstOuiResolve,ethDstAddrOuiResolve,ethSrcOuiResolve,ethSrcAddrOuiResolve,ipSrc,ipSrcHost,ipDst,ipDstHost,numFlows,flowsetLength
2268,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:34.554512000 Eastern Standard Time",1675368034.554512000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2269,1,Set 1 [id=257] (9 flows),packets-2023-02-02,"Feb  2, 2023 15:00:34.640250000 Eastern Standard Time",1675368034.640250000,998,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,9,940
2270,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:35.051647000 Eastern Standard Time",1675368035.051647000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2271,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:35.135674000 Eastern Standard Time",1675368035.135674000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2272,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:35.548451000 Eastern Standard Time",1675368035.548451000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2273,1,Set 1 [id=257] (8 flows),packets-2023-02-02,"Feb  2, 2023 15:00:35.641470000 Eastern Standard Time",1675368035.641470000,894,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,8,836
2274,1,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 15:00:35.641961000 Eastern Standard Time",1675368035.641961000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
2275,1,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 15:00:35.642493000 Eastern Standard Time",1675368035.642493000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
2276,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:36.052736000 Eastern Standard Time",1675368036.052736000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2277,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:36.166501000 Eastern Standard Time",1675368036.166501000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
